Comment,Actual_Sentiment,Predicted_Sentiment
proses aktivasi akun sulit,0,0
tapi aplikasi efektif pantau aman,1,0
tidak masuk menunggu email no telepon tidak masuk notifikasi capek banget aplikasi perintah ken mudah beban,0,0
ampun deh verifikasi ya allah,0,0
mengira bikin saja tidak kampung nyata saja kampung pleas lah bikin regulasi bikin saja anak rantau tidak mengeluarkan biaya bintang ubah kalau sudah bikin wilayah tidak domisili sekian terima kasih,0,0
aplikasi jelek,0,0
kode verifikasi daftar saja tidak terus aplikasi,0,0
aplikasi bagus bantu mudah hubung proses hemat manfaat,1,1
sulit ampun,0,0
tidak jelas aplikasi sudah email benar password benar tidak bisa masuk tidak jelas,0,0
tidak bikin mudah mudah sulit aduh,0,0
daftar tidak niat pakai apa tapi tidak juga kalau gini paksa saja urus padahal yang ringkas dan cepat,0,0
anak tak aplikasi email tidak kirim kirim tidak bikin aplikasi maksa bikin ya aplikasi rusak,0,0
tidak gangguan syarat penuh jaring stabil,0,0
aplikasi bagus mudah gunain fitur fiturnya bantu banget tampil tarik simpel banget urus online,1,1
aplikasi jelek daftar saja sulit kode verifikasi tidak muncul email detik email masuk parah aplikasi,0,0
aplikasi waras nyata ampir layan gangguan unduh mending buang pantesan inimah aplikasi berita layan wkwkwwkkwk,0,0
aplikasi bagus manfaat ringan file bagus,1,1
bantu masyarakat,1,1
kali oke mengirim otp tidak padahal sinyal bagus tolong karena aplikasi syarat utama bikin,0,0
tidak bisa masuk sulit dapat kode verifikasi email opsi,0,0
gangguan koneksi lancar,0,0
aplikasi jelek lambat tidak,0,0
aplikasi mudah fitur ringan,1,1
aplikasi manual,0,0
sudah online layan tetap,0,0
maju,1,1
maaf ribu maaf tidak daftar aplikasi proses prosedur terima kasih,0,0
puas,1,1
invalid data,0,0
aplikasi tidak tolong ya aparat yang hormat kalau memang tidak tidak luncurin aplikasi ambil mengurus wakil nyata tidak daerah wakil kait bilang tidak tembak saja duit ya,0,0
aplikasi tidak sayang makan anggar negara saran masuk terima kasih,0,0
aplikasi menyusahkan orang saja,0,0
admin tidak respon bikin aplikasi ambil untung doang biar bayar negara habis mangkrak korupsi kedok aplikasi,0,0
manfaat,1,1
aplikasi yang ui mudah manfaat banget mengecek kendara isi survey mantap deh,1,1
tidak jelas,0,0
tidak daftar,0,0
mantaaaap mudah,1,1
layan aktif daftar akun tidak verifikasi,0,0
tidak akses aplikasi tidak niat mudah masyarakat,0,0
